"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
49.71,"Colton, Lundell, Bunting, Sheldon","SCIAC Quad Meet","Apr 17, 2010","Athena","4x100","2010","Outdoor"
49.82,"Sheldon, Lundell, Bunting, Colton","Cal/Nevada Collegiate Championship","Mar 27, 2010","Athena","4x100","2010","Outdoor"
49.85,"Colton, Lundell, Bunting, Sheldon","SCIAC Championships","Apr 30, 2010","Athena","4x100","2010","Outdoor"
49.88,"","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Athena","4x100","2010","Outdoor"
50.17,"Sheldon, Lundell, Bunting, Colton","Spring Break Classic","Mar 20, 2010","Athena","4x100","2010","Outdoor"
50.31,"Colton, Lundell, Chong, Sheldon","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Athena","4x100","2010","Outdoor"
51.02,"Brown, Lundell, Bunting, Colton","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Athena","4x100","2010","Outdoor"
51.15,"Sheldon, Lundell, Bunting, Colton","Rossi Relays","Feb 27, 2010","Athena","4x100","2010","Outdoor"
53.55,"Brown, Rose, Young, Chong","Rossi Relays","Feb 27, 2010","Athena","4x100","2010","Outdoor"
53.88,"Brown, Rose, Young, Chong","4 Way Scoring Meet","Feb 20, 2010","Athena","4x100","2010","Outdoor"
54.98,"Lewis, Zouai, Chen, Nishball","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Athena","4x100","2010","Outdoor"
55.15,"Lewis, Zouai, Chen, Nishball","Rossi Relays","Feb 27, 2010","Athena","4x100","2010","Outdoor"
55.73,"Lewis, Zouai, Chen, Nishball","4 Way Scoring Meet","Feb 20, 2010","Athena","4x100","2010","Outdoor"
55.89,"Sheldon, Huang, Yeske, Colton","4 Way Scoring Meet","Feb 20, 2010","Athena","4x100","2010","Outdoor"
