"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
"3:17.65","Guillory, Estrada, Finley, Van","2017 SCIAC T&F Championships","Apr 28, 2017","Stag","4x400","2017","Outdoor"
"3:18.58","Guillory, Estrada, Finley, Sealand","SCIAC Multi-Dual No. 2","Apr 1, 2017","Stag","4x400","2017","Outdoor"
"3:19.32","Guillory, Estrada, Finley, Van","2017 Pomona-Pitzer T&F Invite","Apr 8, 2017","Stag","4x400","2017","Outdoor"
"3:20.37","Guillory, Estrada, Finley, Sealand","SCIAC Track and Field Multi-Dual # 1","Mar 4, 2017","Stag","4x400","2017","Outdoor"
"3:24.43","Guillory, Klain, Finley, Estrada","2017 Oxy Invitational","May 6, 2017","Stag","4x400","2017","Outdoor"
"3:25.39","Finley, Myers, Van, Estrada","Rossi Relays","Feb 25, 2017","Stag","4x400","2017","Outdoor"
"3:27.14","Guillory, Estrada, Finley, Sealand","SCIAC Multi Dual 3 (Oxy/CLU/UR/CMS)","Apr 15, 2017","Stag","4x400","2017","Outdoor"
"3:28.34","Guillory, Estrada, Finley, Klain","Redlands Invite (Colleges)","Mar 17, 2017","Stag","4x400","2017","Outdoor"
"3:33.23","Ives, D'Anieri, Iten, Denning","SCIAC Track and Field Multi-Dual # 1","Mar 4, 2017","Stag","4x400","2017","Outdoor"
"3:35.44","Ives, Iten, Denning, Robison","SCIAC Multi-Dual No. 2","Apr 1, 2017","Stag","4x400","2017","Outdoor"
"3:39.74","Denning, Iten, Ives, Robison","SCIAC Multi Dual 3 (Oxy/CLU/UR/CMS)","Apr 15, 2017","Stag","4x400","2017","Outdoor"
"3:43.06","Klain, Novitsky, Southerland, Fernandez","SCIAC Multi Dual 3 (Oxy/CLU/UR/CMS)","Apr 15, 2017","Stag","4x400","2017","Outdoor"
"3:44.44","Lund, Joseph, D'Anieri, Psaltakis","SCIAC Multi-Dual No. 2","Apr 1, 2017","Stag","4x400","2017","Outdoor"
"4:04.34","Mulligan, Schulze, Macdonald, Cooper","SCIAC Multi-Dual No. 2","Apr 1, 2017","Stag","4x400","2017","Outdoor"
