"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
"4:01.41","Brown, Bunting, Young, Rose","SCIAC Championships","Apr 30, 2010","Athena","4x400","2010","Outdoor"
"4:02.25","","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Athena","4x400","2010","Outdoor"
"4:04.77","Brown, Bunting, Young, Rose","Cal/Nevada Collegiate Championship","Mar 27, 2010","Athena","4x400","2010","Outdoor"
"4:05.93","Brown, Bunting, Young, Rose","Spring Break Classic","Mar 20, 2010","Athena","4x400","2010","Outdoor"
"4:07.06","Brown, Rose, Young, Bunting","SCIAC Quad Meet","Apr 17, 2010","Athena","4x400","2010","Outdoor"
"4:08.88","Brown, Young, Bunting, Rose","Rossi Relays","Feb 27, 2010","Athena","4x400","2010","Outdoor"
"4:09.22","Brown, Lundell, Rose, Young","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Athena","4x400","2010","Outdoor"
"4:14.10","Brown, Colton, Rose, Bunting","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Athena","4x400","2010","Outdoor"
"4:15.52","Brown, Bunting, Young, Rose","4 Way Scoring Meet","Feb 20, 2010","Athena","4x400","2010","Outdoor"
"4:16.93","Yoshida, Garton, Wyatt, Chen","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Athena","4x400","2010","Outdoor"
"4:17.80","Lewis, Lundell, Garton, Wyatt","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Athena","4x400","2010","Outdoor"
"4:20.15","Colton, Wyatt, Garton, Doede","4 Way Scoring Meet","Feb 20, 2010","Athena","4x400","2010","Outdoor"
"4:25.80","Yoshida, Bush, Funk, Chen","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Athena","4x400","2010","Outdoor"
