"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
"3:17.57","","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Stag","4x400","2010","Outdoor"
"3:18.19","Hubbard, Vignos, Davis, Macdonald","SCIAC Championships","Apr 30, 2010","Stag","4x400","2010","Outdoor"
"3:18.77","Hubbard, Vignos, Carroll, Macdonald","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Stag","4x400","2010","Outdoor"
"3:18.83","Hubbard, Vignos, Carroll, Macdonald","SCIAC Quad Meet","Apr 17, 2010","Stag","4x400","2010","Outdoor"
"3:19.15","Hubbard, Vignos, Macdonald, Carroll","Cal/Nevada Collegiate Championship","Mar 27, 2010","Stag","4x400","2010","Outdoor"
"3:21.84","Hubbard, Vignos, Carroll, Macdonald","4 Way Scoring Meet","Feb 20, 2010","Stag","4x400","2010","Outdoor"
"3:22.04","Hubbard, Vignos, Macdonald, Davis","Rossi Relays","Feb 27, 2010","Stag","4x400","2010","Outdoor"
"3:22.45","Hubbard, Vignos, Macdonald, Carroll","Spring Break Classic","Mar 20, 2010","Stag","4x400","2010","Outdoor"
"3:24.74","Anderson, Davis, Kunselman, Hallett","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Stag","4x400","2010","Outdoor"
"3:25.45","Hubbard, Vignos, Macdonald, Carroll","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Stag","4x400","2010","Outdoor"
"3:29.34","Carroll, Kunselman, Pittman, Dinolov","Rossi Relays","Feb 27, 2010","Stag","4x400","2010","Outdoor"
"3:29.44","Davis, Pittman, Olmsted, Kunselman","4 Way Scoring Meet","Feb 20, 2010","Stag","4x400","2010","Outdoor"
"3:31.39","Anderson, Davis, Kunselman, Hallett","SCIAC Quad Meet","Apr 17, 2010","Stag","4x400","2010","Outdoor"
"3:32.83","Pittman, Davis, Dinolov, Boone","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Stag","4x400","2010","Outdoor"
"3:34.97","Davis, Chasan, Scheulen, Sutter","Spring Break Classic","Mar 20, 2010","Stag","4x400","2010","Outdoor"
"3:38.80","Boone, Dinolov, Chasan, Ogilvie","4 Way Scoring Meet","Feb 20, 2010","Stag","4x400","2010","Outdoor"
"3:40.97","Kunselman, Potterton, Chasan, Poyhonen","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Stag","4x400","2010","Outdoor"
"3:53.38","Ogilvie, Page, O'Neill, Sutter","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Stag","4x400","2010","Outdoor"
