"Athlete","Year","Mark","Conv","Meet","Meet_Date","Team","Event","Season","Location"
"Bernstein, Elan","SR-4","58.48m","191' 10""","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","58.00m","190' 3""","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","56.71m","186' 1""","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","55.82m","183' 2""","NCAA Division III Outdoor Track & Field Championships","May 21, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","54.14m","177' 7""","Westmont Collegiate Classic","Mar 21, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","54.10m","177' 6""","NCAA Division III Outdoor Track & Field Championships","May 21, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","53.41m","175' 3""","Occidental Invitational (College/University)","May 9, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","53.01m","173' 11""","Bryan Clay Invitational","Apr 17, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","52.95m","173' 9""","Westmont Collegiate Classic","Mar 21, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","52.92m","173' 7""","NCAA Division III Outdoor Track & Field Championships","May 21, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","52.61m","172' 7""","Bryan Clay Invitational","Apr 17, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","52.58m","172' 6""","Westmont Collegiate Classic","Mar 21, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","52.39m","171' 10""","Westmont Collegiate Classic","Mar 21, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","52.37m","171' 10""","Bryan Clay Invitational","Apr 17, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","52.21m","171' 3""","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","51.86m","170' 2""","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","51.47m","168' 10""","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","51.24m","168' 1""","Bryan Clay Invitational","Apr 17, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","51.23m","168' 1""","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","51.19m","167' 11""","2015 Triton Invitational","Apr 24, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","51.00m","167' 4""","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","50.65m","166' 2""","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","50.59m","166' 0""","SCIAC Multi Dual","Mar 7, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","50.57m","165' 11""","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","50.43m","165' 5""","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","49.77m","163' 3""","Occidental Invitational (College/University)","May 9, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","49.62m","162' 9""","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","48.90m","160' 5""","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","48.87m","160' 4""","Occidental Invitational (College/University)","May 9, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","47.97m","157' 4""","Occidental Invitational (College/University)","May 9, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","47.03m","154' 3""","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","47.03m","154' 3""","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","46.35m","152' 1""","SCIAC Multi Dual","Mar 7, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","46.05m","151' 1""","Rossi Relays","Feb 28, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","45.80m","150' 3""","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","JT","2015","Outdoor"
"Bernstein, Elan","SR-4","45.70m","149' 11""","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","45.17m","148' 2""","SCIAC Multi Dual","Mar 7, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","45.12m","148' 0""","Bryan Clay Invitational","Apr 17, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","44.65m","146' 6""","Bryan Clay Invitational","Apr 17, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","44.35m","145' 6""","Bryan Clay Invitational","Apr 17, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","43.60m","143' 0""","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","43.57m","142' 11""","Rossi Relays","Feb 28, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","43.48m","142' 8""","Bryan Clay Invitational","Apr 17, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","43.44m","142' 6""","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","43.06m","141' 3""","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","43.05m","141' 3""","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","42.63m","139' 10""","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","42.58m","139' 8""","Westmont Collegiate Classic","Mar 21, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","42.38m","139' 0""","Westmont Collegiate Classic","Mar 21, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","42.12m","138' 2""","SCIAC Multi Dual","Mar 7, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","42.09m","138' 1""","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","42.06m","138' 0""","Rossi Relays","Feb 28, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","41.87m","137' 4""","Westmont Collegiate Classic","Mar 21, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","41.85m","137' 4""","Rossi Relays","Feb 28, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","40.49m","132' 10""","Westmont Collegiate Classic","Mar 21, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","40.48m","132' 10""","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","40.24m","132' 0""","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","40.13m","131' 8""","SCIAC Multi Dual","Mar 7, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","40.10m","131' 7""","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","39.96m","131' 1""","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","39.66m","130' 1""","SCIAC Multi Dual","Mar 7, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","39.36m","129' 2""","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","39.24m","128' 9""","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","39.19m","128' 7""","SCIAC Multi Dual","Mar 7, 2015","Stag","JT","2015","Outdoor"
"Naon, Josh","SR-4","39.16m","128' 6""","SCIAC Multi Dual","Mar 7, 2015","Stag","JT","2015","Outdoor"
