"Athlete","Year","Mark","Conv","Meet","Meet_Date","Team","Event","Season","Location"
"Brown-Pounds, Warren","SR-4","4.90m","16' 0.75""","Cal/Nevada Collegiate Championship","Mar 27, 2010","Stag","PV","2010","Outdoor"
"Brown-Pounds, Warren","SR-4","4.87m","15' 11.75""","Cal State LA Last Chance Qualifier","May 15, 2010","Stag","PV","2010","Outdoor"
"Brown-Pounds, Warren","SR-4","4.85m","15' 11""","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Stag","PV","2010","Outdoor"
"Brown-Pounds, Warren","SR-4","4.80m","15' 9""","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Stag","PV","2010","Outdoor"
"Brown-Pounds, Warren","SR-4","4.76m","15' 7.25""","Oxy Invitational","May 8, 2010","Stag","PV","2010","Outdoor"
"Brown-Pounds, Warren","SR-4","4.72m","15' 5.75""","SCIAC Championships","Apr 30, 2010","Stag","PV","2010","Outdoor"
"Brown-Pounds, Warren","SR-4","4.65m","15' 3""","4 Way Scoring Meet","Feb 20, 2010","Stag","PV","2010","Outdoor"
"Streshinsky, Matt","JR-3","4.57m","15' 0""","SCIAC Championships","Apr 30, 2010","Stag","PV","2010","Outdoor"
"Brown-Pounds, Warren","SR-4","4.57m","15' 0""","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Stag","PV","2010","Outdoor"
"Brown-Pounds, Warren","SR-4","4.57m","15' 0""","SCIAC Championships","Apr 30, 2010","Stag","PV","2010","Outdoor"
"Brown-Pounds, Warren","SR-4","4.55m","14' 11""","Spring Break Classic","Mar 20, 2010","Stag","PV","2010","Outdoor"
"Streshinsky, Matt","JR-3","4.50m","14' 9""","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Stag","PV","2010","Outdoor"
"Streshinsky, Matt","JR-3","4.42m","14' 6""","SCIAC Championships","Apr 30, 2010","Stag","PV","2010","Outdoor"
"Streshinsky, Matt","JR-3","4.40m","14' 5.25""","Spring Break Classic","Mar 20, 2010","Stag","PV","2010","Outdoor"
"Streshinsky, Matt","JR-3","4.35m","14' 3.25""","4 Way Scoring Meet","Feb 20, 2010","Stag","PV","2010","Outdoor"
"Streshinsky, Matt","JR-3","4.30m","14' 1.25""","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Stag","PV","2010","Outdoor"
"Streshinsky, Matt","JR-3","4.27m","14' 0""","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Stag","PV","2010","Outdoor"
"Streshinsky, Matt","JR-3","4.27m","14' 0""","SCIAC Quad Meet","Apr 17, 2010","Stag","PV","2010","Outdoor"
"Streshinsky, Matt","JR-3","4.27m","14' 0""","SCIAC Championships","Apr 30, 2010","Stag","PV","2010","Outdoor"
"Honda, Masanori","SR-4","3.66m","12' 0""","SCIAC Quad Meet","Apr 17, 2010","Stag","PV","2010","Outdoor"
"Pittman, Ryan","SR-4","3.65m","11' 11.75""","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Stag","PV","2010","Outdoor"
"Honda, Masanori","SR-4","3.65m","11' 11.75""","SCIAC Championships","Apr 30, 2010","Stag","PV","2010","Outdoor"
"Pittman, Ryan","SR-4","3.60m","11' 9.75""","CSUN Multi's","Mar 18, 2010","Stag","PV","2010","Outdoor"
"Pittman, Ryan","SR-4","3.60m","11' 9.75""","Claremont Classic Multi","May 13, 2010","Stag","PV","2010","Outdoor"
"Honda, Masanori","SR-4","3.50m","11' 5.75""","Spring Break Classic","Mar 20, 2010","Stag","PV","2010","Outdoor"
"Honda, Masanori","SR-4","3.50m","11' 5.75""","SCIAC Championships","Apr 30, 2010","Stag","PV","2010","Outdoor"
"Honda, Masanori","SR-4","3.50m","11' 5.75""","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Stag","PV","2010","Outdoor"
"Honda, Masanori","SR-4","3.45m","11' 3.75""","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Stag","PV","2010","Outdoor"
"Honda, Masanori","SR-4","3.36m","11' 0.25""","Rossi Relays","Feb 27, 2010","Stag","PV","2010","Outdoor"
"Honda, Masanori","SR-4","3.35m","10' 11.75""","SCIAC Championships","Apr 30, 2010","Stag","PV","2010","Outdoor"
"Soll, Jason","SO-2","3.20m","10' 6""","SCIAC Quad Meet","Apr 17, 2010","Stag","PV","2010","Outdoor"
"Soll, Jason","SO-2","3.20m","10' 6""","4 Way Scoring Meet","Feb 20, 2010","Stag","PV","2010","Outdoor"
"Soll, Jason","SO-2","3.15m","10' 4""","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Stag","PV","2010","Outdoor"
"Soll, Jason","SO-2","3.05m","10' 0""","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Stag","PV","2010","Outdoor"
"Soll, Jason","SO-2","2.89m","9' 5.75""","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Stag","PV","2010","Outdoor"
