"Athlete","Year","Time","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Lewis, Rose","",14.95,"Cal State LA Tommy Tiny Lister Classic","Apr 22, 2011",1.2,"Athena","100H","2011","Outdoor"
"Lewis, Rose","",15.1,"2011 SCIAC Track & Field Championships","Apr 29, 2011",0.3,"Athena","100H","2011","Outdoor"
"Lewis, Rose","",15.15,"Cal State LA Last Chance Qualifier","May 13, 2011",1.3,"Athena","100H","2011","Outdoor"
"Colton, Reny","SR",15.39,"Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011",1.7,"Athena","100H","2011","Outdoor"
"Colton, Reny","SR",15.39,"2011 SCIAC Track & Field Championships","Apr 29, 2011",-1.5,"Athena","100H","2011","Outdoor"
"Colton, Reny","SR",15.46,"2011 SCIAC Track & Field Championships","Apr 29, 2011",-1,"Athena","100H","2011","Outdoor"
"Lewis, Rose","",15.5,"2011 Pomona-Pitzer Invite","Apr 9, 2011",-0.4,"Athena","100H","2011","Outdoor"
"Lewis, Rose","",15.63,"2011 SCIAC Track & Field Championships","Apr 29, 2011",-1.5,"Athena","100H","2011","Outdoor"
"Colton, Reny","SR",15.63,"Northridge Invitational","Mar 12, 2011",0.7,"Athena","100H","2011","Outdoor"
"Lundell, Carmen","SO-2",15.65,"Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011",1.7,"Athena","100H","2011","Outdoor"
"Lewis, Rose","",15.89,"UC-Irvine Spring Break Invite","Mar 19, 2011",-0.6,"Athena","100H","2011","Outdoor"
"Lewis, Rose","",16.15,"SCIAC Quad #1 at CMS","Mar 5, 2011",-1.5,"Athena","100H","2011","Outdoor"
"Lundell, Carmen","SO-2",16.31,"2011 SCIAC Track & Field Championships","Apr 29, 2011",-1.5,"Athena","100H","2011","Outdoor"
"Lundell, Carmen","SO-2",16.51,"SCIAC Quad #1 at CMS","Mar 5, 2011",-1.5,"Athena","100H","2011","Outdoor"
"Lundell, Carmen","SO-2",16.54,"UC-Irvine Spring Break Invite","Mar 19, 2011",-0.2,"Athena","100H","2011","Outdoor"
"O'Keefe, Meg","",16.59,"Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011",1.7,"Athena","100H","2011","Outdoor"
"Lundell, Carmen","SO-2",16.6,"2011 SCIAC Track & Field Championships","Apr 29, 2011",0.3,"Athena","100H","2011","Outdoor"
"Lundell, Carmen","SO-2",16.63,"2011 Pomona-Pitzer Invite","Apr 9, 2011",1,"Athena","100H","2011","Outdoor"
"Lundell, Carmen","SO-2",16.75,"Northridge Invitational","Mar 12, 2011",1.7,"Athena","100H","2011","Outdoor"
"O'Keefe, Meg","",16.83,"UC-Irvine Spring Break Invite","Mar 19, 2011",-0.6,"Athena","100H","2011","Outdoor"
"O'Keefe, Meg","",17.14,"SCIAC Quad #1 at CMS","Mar 5, 2011",-1.5,"Athena","100H","2011","Outdoor"
"O'Keefe, Meg","",18.84,"2011 Pomona-Pitzer Invite","Apr 9, 2011",1,"Athena","100H","2011","Outdoor"
