"Athlete","Year","Mark","Conv","Meet","Meet_Date","Team","Event","Season","Location"
"Huang, Koko","","3.50m","11' 5.75""","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","PV","2011","Outdoor"
"Huang, Koko","","3.40m","11' 1.75""","Cal State LA Tommy Tiny Lister Classic","Apr 22, 2011","Athena","PV","2011","Outdoor"
"Huang, Koko","","3.40m","11' 1.75""","UC-Irvine Spring Break Invite","Mar 19, 2011","Athena","PV","2011","Outdoor"
"Huang, Koko","","3.35m","10' 11.75""","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","PV","2011","Outdoor"
"Huang, Koko","","3.35m","10' 11.75""","Cal/Nevada Collegiate Championship","Mar 26, 2011","Athena","PV","2011","Outdoor"
"Huang, Koko","","3.31m","10' 10.25""","Cal State LA Last Chance Qualifier","May 13, 2011","Athena","PV","2011","Outdoor"
"Huang, Koko","","3.25m","10' 8""","2011 Pomona-Pitzer Invite","Apr 9, 2011","Athena","PV","2011","Outdoor"
"Huang, Koko","","3.25m","10' 8""","UC-Irvine Spring Break Invite","Mar 19, 2011","Athena","PV","2011","Outdoor"
"Plotkin, Melia","JR-3","3.20m","10' 6""","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","PV","2011","Outdoor"
"Yeske, Lauren","JR-3","3.20m","10' 6""","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Athena","PV","2011","Outdoor"
"Huang, Koko","","3.20m","10' 6""","SCIAC Quad #1 at CMS","Mar 5, 2011","Athena","PV","2011","Outdoor"
"Huang, Koko","","3.20m","10' 6""","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Athena","PV","2011","Outdoor"
"Yeske, Lauren","JR-3","3.20m","10' 6""","SCIAC Quad #1 at CMS","Mar 5, 2011","Athena","PV","2011","Outdoor"
"Huang, Koko","","3.20m","10' 6""","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","PV","2011","Outdoor"
"Yeske, Lauren","JR-3","3.20m","10' 6""","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Athena","PV","2011","Outdoor"
"Huang, Koko","","3.20m","10' 6""","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Athena","PV","2011","Outdoor"
"Huang, Koko","","3.20m","10' 6""","Cal/Nevada Collegiate Championship","Mar 26, 2011","Athena","PV","2011","Outdoor"
"Huang, Koko","","3.20m","10' 6""","Rossi Relays","Feb 26, 2011","Athena","PV","2011","Outdoor"
"Huang, Koko","","3.10m","10' 2""","UC-Irvine Spring Break Invite","Mar 19, 2011","Athena","PV","2011","Outdoor"
"Plotkin, Melia","JR-3","3.10m","10' 2""","UC-Irvine Spring Break Invite","Mar 19, 2011","Athena","PV","2011","Outdoor"
"Yeske, Lauren","JR-3","3.10m","10' 2""","UC-Irvine Spring Break Invite","Mar 19, 2011","Athena","PV","2011","Outdoor"
"Huang, Koko","","3.10m","10' 2""","Northridge Invitational","Mar 12, 2011","Athena","PV","2011","Outdoor"
"Plotkin, Melia","JR-3","3.10m","10' 2""","2011 Pomona-Pitzer Invite","Apr 9, 2011","Athena","PV","2011","Outdoor"
"Yeske, Lauren","JR-3","3.10m","10' 2""","2011 Pomona-Pitzer Invite","Apr 9, 2011","Athena","PV","2011","Outdoor"
"Plotkin, Melia","JR-3","3.05m","10' 0""","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Athena","PV","2011","Outdoor"
"Plotkin, Melia","JR-3","3.05m","10' 0""","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","PV","2011","Outdoor"
"Yeske, Lauren","JR-3","3.05m","10' 0""","Rossi Relays","Feb 26, 2011","Athena","PV","2011","Outdoor"
"Yeske, Lauren","JR-3","3.05m","10' 0""","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Athena","PV","2011","Outdoor"
"Plotkin, Melia","JR-3","3.05m","10' 0""","Rossi Relays","Feb 26, 2011","Athena","PV","2011","Outdoor"
"Huang, Koko","","3.05m","10' 0""","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","PV","2011","Outdoor"
"Plotkin, Melia","JR-3","3.05m","10' 0""","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Athena","PV","2011","Outdoor"
"Plotkin, Melia","JR-3","3.05m","10' 0""","SCIAC Quad #1 at CMS","Mar 5, 2011","Athena","PV","2011","Outdoor"
"Huang, Koko","","3.05m","10' 0""","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Athena","PV","2011","Outdoor"
"Yeske, Lauren","JR-3","3.05m","10' 0""","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","PV","2011","Outdoor"
"Yeske, Lauren","JR-3","2.95m","9' 8""","UC-Irvine Spring Break Invite","Mar 19, 2011","Athena","PV","2011","Outdoor"
"Huang, Koko","","2.95m","9' 8""","Northridge Invitational","Mar 12, 2011","Athena","PV","2011","Outdoor"
"Plotkin, Melia","JR-3","2.95m","9' 8""","UC-Irvine Spring Break Invite","Mar 19, 2011","Athena","PV","2011","Outdoor"
"Huang, Koko","","2.95m","9' 8""","UC-Irvine Spring Break Invite","Mar 19, 2011","Athena","PV","2011","Outdoor"
"Plotkin, Melia","JR-3","2.90m","9' 6.25""","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","PV","2011","Outdoor"
"Plotkin, Melia","JR-3","2.89m","9' 5.75""","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Athena","PV","2011","Outdoor"
"Plotkin, Melia","JR-3","2.88m","9' 5.25""","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Athena","PV","2011","Outdoor"
"Plotkin, Melia","JR-3","2.80m","9' 2.25""","UC-Irvine Spring Break Invite","Mar 19, 2011","Athena","PV","2011","Outdoor"
