"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Redman, Chad","SR-4","55.83","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015","Stag","400H","2015","Outdoor"
"Cunha, Caleb","SR-4","56.30","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015","Stag","400H","2015","Outdoor"
"Cunha, Caleb","SR-4","56.54","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Stag","400H","2015","Outdoor"
"Cunha, Caleb","SR-4","56.73","SCIAC Multi Dual","Mar 7, 2015","Stag","400H","2015","Outdoor"
"Redman, Chad","SR-4","58.42","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","400H","2015","Outdoor"
"Cunha, Caleb","SR-4","58.61","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Stag","400H","2015","Outdoor"
"Espy, Matt","SR-4","58.77","SCIAC Multi Dual","Mar 7, 2015","Stag","400H","2015","Outdoor"
"Espy, Matt","SR-4","59.61","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Stag","400H","2015","Outdoor"
"Redman, Chad","SR-4","59.78","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","400H","2015","Outdoor"
"Espy, Matt","SR-4","1:00.29","Westmont Collegiate Classic","Mar 21, 2015","Stag","400H","2015","Outdoor"
"Espy, Matt","SR-4","1:00.61","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015","Stag","400H","2015","Outdoor"
"Espy, Matt","SR-4","1:01.57","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","400H","2015","Outdoor"
"Redman, Chad","SR-4","1:01.58","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Stag","400H","2015","Outdoor"
