"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Anderson, Joey","SO-2",54.86,"2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Stag","400H","2010","Outdoor"
"Olmsted, Dan","JR-3",55.27,"2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Stag","400H","2010","Outdoor"
"Olmsted, Dan","JR-3",55.3,"SCIAC Championships","Apr 30, 2010","Stag","400H","2010","Outdoor"
"Weaver, Ryan","JR-3",55.36,"SCIAC Championships","Apr 30, 2010","Stag","400H","2010","Outdoor"
"Olmsted, Dan","JR-3",55.43,"SCIAC Quad Meet","Apr 17, 2010","Stag","400H","2010","Outdoor"
"Weaver, Ryan","JR-3",55.78,"SCIAC Championships","Apr 30, 2010","Stag","400H","2010","Outdoor"
"Olmsted, Dan","JR-3",55.81,"Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Stag","400H","2010","Outdoor"
"Weaver, Ryan","JR-3",55.81,"SCIAC Quad Meet","Apr 17, 2010","Stag","400H","2010","Outdoor"
"Weaver, Ryan","JR-3",56.47,"2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Stag","400H","2010","Outdoor"
"Olmsted, Dan","JR-3",56.71,"Spring Break Classic","Mar 20, 2010","Stag","400H","2010","Outdoor"
"Weaver, Ryan","JR-3",56.91,"Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Stag","400H","2010","Outdoor"
"Anderson, Joey","SO-2",56.99,"SCIAC Championships","Apr 30, 2010","Stag","400H","2010","Outdoor"
"Anderson, Joey","SO-2",57.31,"SCIAC Championships","Apr 30, 2010","Stag","400H","2010","Outdoor"
"Olmsted, Dan","JR-3",57.54,"Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Stag","400H","2010","Outdoor"
"Anderson, Joey","SO-2",57.58,"Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Stag","400H","2010","Outdoor"
"Olmsted, Dan","JR-3",59.56,"Rossi Relays","Feb 27, 2010","Stag","400H","2010","Outdoor"
"Olmsted, Dan","JR-3",59.85,"SCIAC Championships","Apr 30, 2010","Stag","400H","2010","Outdoor"
