"Athlete","Year","Mark","Conv","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Martinez, Joshua","FR-1","6.69m","21' 11.5""","SCIAC#3 (ULV,CIT,CU,CMS,OC)","Apr 16, 2022",0.3,"Stag","LJ","2022","Outdoor"
"Martinez, Joshua","FR-1","6.58m","21' 7.25""","SCIAC Track & Field Championships","Apr 30, 2022",0,"Stag","LJ","2022","Outdoor"
"Martinez, Joshua","FR-1","6.55m","21' 6""","2022 Redlands Invitational (Collegiate)","Mar 18, 2022",0,"Stag","LJ","2022","Outdoor"
"Martinez, Joshua","FR-1","6.48m","21' 3.25""","SCIAC Track & Field Championships","Apr 30, 2022",1,"Stag","LJ","2022","Outdoor"
"Martinez, Joshua","FR-1","6.42m","21' 0.75""","Westmont Collegiate Classic","Mar 26, 2022",0,"Stag","LJ","2022","Outdoor"
"Martinez, Joshua","FR-1","6.42m","21' 0.75""","SCIAC#3 (ULV,CIT,CU,CMS,OC)","Apr 16, 2022",0.5,"Stag","LJ","2022","Outdoor"
"Martinez, Joshua","FR-1","6.39m","20' 11.75""","Westmont Collegiate Classic","Mar 26, 2022",0,"Stag","LJ","2022","Outdoor"
"Martinez, Joshua","FR-1","6.33m","20' 9.25""","2022 Pomona-Pitzer Collegiate All-Comers","Feb 19, 2022",0.9,"Stag","LJ","2022","Outdoor"
"Martinez, Joshua","FR-1","6.26m","20' 6.5""","25th Rossi Relays","Feb 26, 2022",-0.6,"Stag","LJ","2022","Outdoor"
"Martinez, Joshua","FR-1","6.25m","20' 6.25""","SCIAC#3 (ULV,CIT,CU,CMS,OC)","Apr 16, 2022",0.3,"Stag","LJ","2022","Outdoor"
"Martinez, Joshua","FR-1","6.22m","20' 5""","2022 Redlands Invitational (Collegiate)","Mar 18, 2022",0.2,"Stag","LJ","2022","Outdoor"
"Selva, Kumaran","JR-3","6.21m","20' 4.5""","2022 Redlands Invitational (Collegiate)","Mar 18, 2022",0,"Stag","LJ","2022","Outdoor"
"Martinez, Joshua","FR-1","6.21m","20' 4.5""","2022 Redlands Invitational (Collegiate)","Mar 18, 2022",0.6,"Stag","LJ","2022","Outdoor"
"Martinez, Joshua","FR-1","6.21m","20' 4.5""","SCIAC #1 @ ULV","Mar 5, 2022",-0.7,"Stag","LJ","2022","Outdoor"
"Selva, Kumaran","SO-2","6.18m","20' 3.5""","SCIAC Track & Field Championships","Apr 30, 2022",0,"Stag","LJ","2022","Outdoor"
"Martinez, Joshua","FR-1","6.16m","20' 2.5""","SCIAC Track & Field Championships","Apr 30, 2022",0,"Stag","LJ","2022","Outdoor"
"Martinez, Joshua","FR-1","6.14m","20' 1.75""","SCIAC Multi Dual #2 CMS/ULV/CU/PP/CLU","Apr 2, 2022",-1.2,"Stag","LJ","2022","Outdoor"
"Martinez, Joshua","FR-1","6.13m","20' 1.5""","SCIAC Multi Dual #2 CMS/ULV/CU/PP/CLU","Apr 2, 2022",0.3,"Stag","LJ","2022","Outdoor"
