"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Barnwell, Allison","SR-4","10:47.41","Mt. SAC Relays","Apr 17, 2014","Athena","3000S","2014","Outdoor"
"Barnwell, Allison","SR-4","10:53.91","2014 Cal-Nevada Track & Field Championships","Apr 4, 2014","Athena","3000S","2014","Outdoor"
"Barnwell, Allison","SR-4","10:58.11","NCAA Division III Outdoor Track & Field Championships","May 22, 2014","Athena","3000S","2014","Outdoor"
"Barnwell, Allison","SR-4","10:59.37","NCAA Division III Outdoor Track & Field Championships","May 22, 2014","Athena","3000S","2014","Outdoor"
"Barnwell, Allison","SR-4","11:02.92","2014 SCIAC T&F Championships","May 3, 2014","Athena","3000S","2014","Outdoor"
"Spees, Kaitlyn","JR-3","11:07.82","2014 SCIAC T&F Championships","May 3, 2014","Athena","3000S","2014","Outdoor"
"Barnwell, Allison","SR-4","11:12.10","2014 SCIAC Quad Meet","Mar 29, 2014","Athena","3000S","2014","Outdoor"
"Spees, Kaitlyn","JR-3","11:21.32","SCIAC Multi Duals Meet #3","Apr 19, 2014","Athena","3000S","2014","Outdoor"
"Willian, Caroline","FR-1","11:22.07","2014 SCIAC T&F Championships","May 3, 2014","Athena","3000S","2014","Outdoor"
"Willian, Caroline","FR-1","11:29.91","SCIAC Multi Duals Meet #3","Apr 19, 2014","Athena","3000S","2014","Outdoor"
"Spees, Kaitlyn","JR-3","11:34.70","2014 SCIAC Quad Meet","Mar 29, 2014","Athena","3000S","2014","Outdoor"
"Spees, Kaitlyn","JR-3","11:35.44","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014","Athena","3000S","2014","Outdoor"
"Willian, Caroline","FR-1","11:42.90","2014 SCIAC Quad Meet","Mar 29, 2014","Athena","3000S","2014","Outdoor"
"Wu, Taia","JR-3","11:48.91","2014 SCIAC T&F Championships","May 3, 2014","Athena","3000S","2014","Outdoor"
"Scott, Amber","FR-1","11:55.93","2014 SCIAC T&F Championships","May 3, 2014","Athena","3000S","2014","Outdoor"
"Wu, Taia","JR-3","11:58.44","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014","Athena","3000S","2014","Outdoor"
"Willian, Caroline","FR-1","12:08.54","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014","Athena","3000S","2014","Outdoor"
"Scott, Amber","FR-1","12:09.80","SCIAC Multi Duals Meet #3","Apr 19, 2014","Athena","3000S","2014","Outdoor"
"Scott, Amber","FR-1","12:18.11","2014 SCIAC Quad Meet","Mar 29, 2014","Athena","3000S","2014","Outdoor"
"Lehr, Jen","FR-1","12:21.13","2014 SCIAC Quad Meet","Mar 29, 2014","Athena","3000S","2014","Outdoor"
"Scott, Amber","FR-1","12:48.54","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014","Athena","3000S","2014","Outdoor"
