"Athlete","Year","Mark","Conv","Meet","Meet_Date","Team","Event","Season","Location"
"Guang, Bonny","SO-2","41.65m","136' 8""","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Athena","HT","2010","Outdoor"
"Guang, Bonny","SO-2","41.16m","135' 0""","Rossi Relays","Feb 27, 2010","Athena","HT","2010","Outdoor"
"Guang, Bonny","SO-2","40.93m","134' 3""","SCIAC Quad Meet","Apr 17, 2010","Athena","HT","2010","Outdoor"
"Guang, Bonny","SO-2","39.02m","128' 0""","SCIAC Championships","Apr 30, 2010","Athena","HT","2010","Outdoor"
"Guang, Bonny","SO-2","38.74m","127' 1""","SCIAC Championships","Apr 30, 2010","Athena","HT","2010","Outdoor"
"Guang, Bonny","SO-2","38.23m","125' 5""","SCIAC Championships","Apr 30, 2010","Athena","HT","2010","Outdoor"
"Guang, Bonny","SO-2","37.91m","124' 4""","SCIAC Championships","Apr 30, 2010","Athena","HT","2010","Outdoor"
"Guang, Bonny","SO-2","37.61m","123' 5""","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Athena","HT","2010","Outdoor"
"Guang, Bonny","SO-2","37.34m","122' 6""","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Athena","HT","2010","Outdoor"
"Guang, Bonny","SO-2","31.34m","102' 10""","Spring Break Classic","Mar 20, 2010","Athena","HT","2010","Outdoor"
