"Athlete","Year","Mark","Conv","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Wong, Matt","FR-1","14.30m","46' 11""","2014 SCIAC T&F Championships","May 3, 2014",1.3,"Stag","TJ","2014","Outdoor"
"Wong, Matt","","14.19m","46' 6.75""","2014 Oxy Invitational (Colleges/Junior Colleges)","May 10, 2014",1.4,"Stag","TJ","2014","Outdoor"
"Wong, Matt","","14.05m","46' 1.25""","2014 Oxy Invitational (Colleges/Junior Colleges)","May 10, 2014",0.9,"Stag","TJ","2014","Outdoor"
"Wong, Matt","FR-1","13.77m","45' 2.25""","2014 SCIAC T&F Championships","May 3, 2014",1,"Stag","TJ","2014","Outdoor"
"Wong, Matt","FR-1","13.76m","45' 1.75""","UNLV Randall Cunningham Initational","Mar 21, 2014",0,"Stag","TJ","2014","Outdoor"
"Wong, Matt","FR-1","13.70m","44' 11.5""","2014 SCIAC Quad Meet","Mar 29, 2014",0,"Stag","TJ","2014","Outdoor"
"Van, Cam","FR-1","13.67m","44' 10.25""","SCIAC Multi Duals Meet #3","Apr 19, 2014",4.1,"Stag","TJ","2014","Outdoor"
"Van, Cam","FR-1","13.64m","44' 9""","SCIAC Multi Duals Meet #3","Apr 19, 2014",2.9,"Stag","TJ","2014","Outdoor"
"Wong, Matt","FR-1","13.62m","44' 8.25""","2014 Cal-Nevada Track & Field Championships","Apr 4, 2014",-0.9,"Stag","TJ","2014","Outdoor"
"Wong, Matt","FR-1","13.58m","44' 6.75""","2014 SCIAC T&F Championships","May 3, 2014",1.3,"Stag","TJ","2014","Outdoor"
"Wong, Matt","FR-1","13.56m","44' 6""","2014 SCIAC Quad Meet","Mar 29, 2014",1.7,"Stag","TJ","2014","Outdoor"
"Wong, Matt","FR-1","13.54m","44' 5.25""","2014 Cal-Nevada Track & Field Championships","Apr 4, 2014",3.1,"Stag","TJ","2014","Outdoor"
"Wong, Matt","FR-1","13.47m","44' 2.5""","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014",0,"Stag","TJ","2014","Outdoor"
"Wong, Matt","FR-1","13.40m","43' 11.75""","Rossi Relays","Feb 22, 2014",0.8,"Stag","TJ","2014","Outdoor"
"Wong, Matt","FR-1","13.36m","43' 10""","2014 SCIAC Quad Meet","Mar 29, 2014",-1.3,"Stag","TJ","2014","Outdoor"
"Wong, Matt","FR-1","13.36m","43' 10""","UNLV Randall Cunningham Initational","Mar 21, 2014",1.4,"Stag","TJ","2014","Outdoor"
"Wong, Matt","FR-1","13.35m","43' 9.75""","Rossi Relays","Feb 22, 2014",1.3,"Stag","TJ","2014","Outdoor"
"Van, Cam","FR-1","13.33m","43' 9""","2014 SCIAC T&F Championships","May 3, 2014",0,"Stag","TJ","2014","Outdoor"
"Wong, Matt","FR-1","13.27m","43' 6.5""","2014 SCIAC T&F Championships","May 3, 2014",-0.7,"Stag","TJ","2014","Outdoor"
"Wong, Matt","FR-1","13.25m","43' 5.75""","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014",1.1,"Stag","TJ","2014","Outdoor"
"Van, Cam","FR-1","13.09m","42' 11.5""","2014 SCIAC T&F Championships","May 3, 2014",0.6,"Stag","TJ","2014","Outdoor"
"Van, Cam","FR-1","13.06m","42' 10.25""","2014 SCIAC T&F Championships","May 3, 2014",2.1,"Stag","TJ","2014","Outdoor"
"Van, Cam","FR-1","13.05m","42' 9.75""","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014",0.3,"Stag","TJ","2014","Outdoor"
"Wong, Matt","FR-1","13.05m","42' 9.75""","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014",2.8,"Stag","TJ","2014","Outdoor"
"Van, Cam","FR-1","13.01m","42' 8.25""","2014 SCIAC T&F Championships","May 3, 2014",0,"Stag","TJ","2014","Outdoor"
"Van, Cam","FR-1","13.00m","42' 8""","SCIAC Multi Duals Meet #3","Apr 19, 2014",3.1,"Stag","TJ","2014","Outdoor"
"Wong, Matt","FR-1","12.97m","42' 6.75""","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014",0.6,"Stag","TJ","2014","Outdoor"
"Van, Cam","FR-1","12.96m","42' 6.25""","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014",1.3,"Stag","TJ","2014","Outdoor"
"Van, Cam","FR-1","12.94m","42' 5.5""","SCIAC Multi Duals Meet #3","Apr 19, 2014",2.3,"Stag","TJ","2014","Outdoor"
"Wong, Matt","FR-1","12.93m","42' 5.25""","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014",1.7,"Stag","TJ","2014","Outdoor"
"Van, Cam","FR-1","12.89m","42' 3.5""","SCIAC Multi Duals Meet #3","Apr 19, 2014",4.1,"Stag","TJ","2014","Outdoor"
"Van, Cam","FR-1","12.89m","42' 3.5""","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014",1.2,"Stag","TJ","2014","Outdoor"
"Van, Cam","FR-1","12.85m","42' 2""","Rossi Relays","Feb 22, 2014",1.4,"Stag","TJ","2014","Outdoor"
"Van, Cam","FR-1","12.77m","41' 10.75""","Rossi Relays","Feb 22, 2014",1,"Stag","TJ","2014","Outdoor"
"Van, Cam","FR-1","12.75m","41' 10""","Rossi Relays","Feb 22, 2014",0.5,"Stag","TJ","2014","Outdoor"
"Van, Cam","FR-1","12.73m","41' 9.25""","Rossi Relays","Feb 22, 2014",0.8,"Stag","TJ","2014","Outdoor"
"Van, Cam","FR-1","12.70m","41' 8""","2014 SCIAC T&F Championships","May 3, 2014",0,"Stag","TJ","2014","Outdoor"
"Van, Cam","FR-1","12.63m","41' 5.25""","2014 SCIAC T&F Championships","May 3, 2014",-1.4,"Stag","TJ","2014","Outdoor"
"Van, Cam","FR-1","12.59m","41' 3.75""","2014 Cal-Nevada Track & Field Championships","Apr 4, 2014",1.2,"Stag","TJ","2014","Outdoor"
"Van, Cam","FR-1","12.59m","41' 3.75""","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014",1.4,"Stag","TJ","2014","Outdoor"
"Van, Cam","FR-1","12.51m","41' 0.5""","2014 SCIAC Quad Meet","Mar 29, 2014",-1.4,"Stag","TJ","2014","Outdoor"
