"Athlete","Year","Mark","Conv","Meet","Meet_Date","Team","Event","Season","Location"
"Doede, Aubrey","JR-3","1.63m","5' 4.25""","Cal State LA Last Chance Qualifier","May 15, 2010","Athena","HJ","2010","Outdoor"
"Doede, Aubrey","JR-3","1.62m","5' 3.75""","Rossi Relays","Feb 27, 2010","Athena","HJ","2010","Outdoor"
"Doede, Aubrey","JR-3","1.62m","5' 3.75""","Oxy Invitational","May 8, 2010","Athena","HJ","2010","Outdoor"
"Colton, Reny","SR","1.61m","5' 3.25""","Mt. SAC/CA Invite Combined Events","Apr 14, 2010","Athena","HJ","2010","Outdoor"
"Doede, Aubrey","JR-3","1.60m","5' 3""","SCIAC Quad Meet","Apr 17, 2010","Athena","HJ","2010","Outdoor"
"Doede, Aubrey","JR-3","1.58m","5' 2.25""","Cal/Nevada Collegiate Championship","Mar 27, 2010","Athena","HJ","2010","Outdoor"
"Colton, Reny","SR","1.58m","5' 2.25""","Mt. SAC/CA Invite Combined Events","Apr 14, 2010","Athena","HJ","2010","Outdoor"
"Colton, Reny","SR","1.57m","5' 1.75""","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Athena","HJ","2010","Outdoor"
"Doede, Aubrey","JR-3","1.57m","5' 1.75""","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Athena","HJ","2010","Outdoor"
"Doede, Aubrey","JR-3","1.56m","5' 1.25""","4 Way Scoring Meet","Feb 20, 2010","Athena","HJ","2010","Outdoor"
"Doede, Aubrey","JR-3","1.56m","5' 1.25""","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Athena","HJ","2010","Outdoor"
"Colton, Reny","SR","1.55m","5' 1""","Mt. SAC/CA Invite Combined Events","Apr 14, 2010","Athena","HJ","2010","Outdoor"
"Colton, Reny","SR","1.55m","5' 1""","SCIAC Quad Meet","Apr 17, 2010","Athena","HJ","2010","Outdoor"
"Colton, Reny","SR","1.53m","5' 0.25""","Claremont Classic Multi","May 13, 2010","Athena","HJ","2010","Outdoor"
"Colton, Reny","SR","1.52m","4' 11.75""","CSUN Multi's","Mar 18, 2010","Athena","HJ","2010","Outdoor"
"Colton, Reny","SR","1.52m","4' 11.75""","Mt. SAC/CA Invite Combined Events","Apr 14, 2010","Athena","HJ","2010","Outdoor"
"Colton, Reny","SR","1.52m","4' 11.75""","SCIAC Championships","Apr 30, 2010","Athena","HJ","2010","Outdoor"
"Doede, Aubrey","JR-3","1.52m","4' 11.75""","SCIAC Championships","Apr 30, 2010","Athena","HJ","2010","Outdoor"
"Doede, Aubrey","JR-3","1.50m","4' 11""","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Athena","HJ","2010","Outdoor"
"Colton, Reny","SR","1.49m","4' 10.5""","Mt. SAC/CA Invite Combined Events","Apr 14, 2010","Athena","HJ","2010","Outdoor"
"Deyoe, Emily","JR-3","1.47m","4' 9.75""","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Athena","HJ","2010","Outdoor"
"Colton, Reny","SR","1.47m","4' 9.75""","SCIAC Championships","Apr 30, 2010","Athena","HJ","2010","Outdoor"
"Colton, Reny","SR","1.46m","4' 9.5""","Mt. SAC/CA Invite Combined Events","Apr 14, 2010","Athena","HJ","2010","Outdoor"
"Nishball, Rachel","SR-4","1.45m","4' 9""","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Athena","HJ","2010","Outdoor"
"Deyoe, Emily","JR-3","1.45m","4' 9""","SCIAC Quad Meet","Apr 17, 2010","Athena","HJ","2010","Outdoor"
"Nishball, Rachel","SR-4","1.43m","4' 8.25""","Spring Break Classic","Mar 20, 2010","Athena","HJ","2010","Outdoor"
"Colton, Reny","SR","1.42m","4' 7.75""","SCIAC Championships","Apr 30, 2010","Athena","HJ","2010","Outdoor"
"Deyoe, Emily","JR-3","1.42m","4' 7.75""","SCIAC Championships","Apr 30, 2010","Athena","HJ","2010","Outdoor"
"Nishball, Rachel","SR-4","1.42m","4' 7.75""","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Athena","HJ","2010","Outdoor"
"Nishball, Rachel","SR-4","1.41m","4' 7.5""","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Athena","HJ","2010","Outdoor"
"Deyoe, Emily","JR-3","1.41m","4' 7.5""","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Athena","HJ","2010","Outdoor"
"Deyoe, Emily","JR-3","1.41m","4' 7.5""","4 Way Scoring Meet","Feb 20, 2010","Athena","HJ","2010","Outdoor"
"Deyoe, Emily","JR-3","1.40m","4' 7""","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Athena","HJ","2010","Outdoor"
"Nishball, Rachel","SR-4","1.37m","4' 6""","Rossi Relays","Feb 27, 2010","Athena","HJ","2010","Outdoor"
"Deyoe, Emily","JR-3","1.37m","4' 6""","SCIAC Championships","Apr 30, 2010","Athena","HJ","2010","Outdoor"
"Deyoe, Emily","JR-3","1.37m","4' 6""","Rossi Relays","Feb 27, 2010","Athena","HJ","2010","Outdoor"
"Nishball, Rachel","SR-4","1.37m","4' 6""","SCIAC Championships","Apr 30, 2010","Athena","HJ","2010","Outdoor"
"Nishball, Rachel","SR-4","1.32m","4' 4""","SCIAC Championships","Apr 30, 2010","Athena","HJ","2010","Outdoor"
