"Athlete","Year","Mark","Conv","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Erving, Ellyn","SR-4","12.11m","39' 8.75""","NCAA Division III Outdoor Track & Field Championships","May 22, 2014",0.8,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","12.07m","39' 7.25""","NCAA Division III Outdoor Track & Field Championships","May 22, 2014",0.1,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","12.06m","39' 7""","2014 Cal-Nevada Track & Field Championships","Apr 4, 2014",0,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","12.05m","39' 6.5""","2014 Cal-Nevada Track & Field Championships","Apr 4, 2014",-2.5,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","12.05m","39' 6.5""","SCIAC Multi Duals Meet #3","Apr 19, 2014",3.1,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","12.01m","39' 5""","2014 SCIAC T&F Championships","May 3, 2014",0.3,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","11.99m","39' 4""","2014 SCIAC T&F Championships","May 3, 2014",0,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","11.92m","39' 1.25""","NCAA Division III Outdoor Track & Field Championships","May 22, 2014",1.3,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","11.92m","39' 1.25""","2014 SCIAC T&F Championships","May 3, 2014",0,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","11.87m","38' 11.5""","NCAA Division III Outdoor Track & Field Championships","May 22, 2014",0.3,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","11.84m","38' 10.25""","NCAA Division III Outdoor Track & Field Championships","May 22, 2014",-1,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","11.81m","38' 9""","SCIAC Multi Duals Meet #3","Apr 19, 2014",1.7,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","11.80m","38' 8.75""","2014 SCIAC T&F Championships","May 3, 2014",1.1,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","11.76m","38' 7""","2014 Cal-Nevada Track & Field Championships","Apr 4, 2014",-0.2,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","11.74m","38' 6.25""","2014 Cal-Nevada Track & Field Championships","Apr 4, 2014",2.4,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","11.73m","38' 6""","NCAA Division III Outdoor Track & Field Championships","May 22, 2014",0.7,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","11.60m","38' 0.75""","2014 SCIAC T&F Championships","May 3, 2014",1,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","11.54m","37' 10.5""","SCIAC Multi Duals Meet #3","Apr 19, 2014",2.8,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","11.51m","37' 9.25""","2014 Cal-Nevada Track & Field Championships","Apr 4, 2014",0,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","11.39m","37' 4.5""","2014 SCIAC T&F Championships","May 3, 2014",-0.2,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","11.31m","37' 1.25""","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014",3.7,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","11.30m","37' 1""","2014 SCIAC Quad Meet","Mar 29, 2014",1.3,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","11.23m","36' 10.25""","2014 Cal-Nevada Track & Field Championships","Apr 4, 2014",2.6,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","11.10m","36' 5""","UNLV Randall Cunningham Initational","Mar 21, 2014",2.5,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","11.09m","36' 4.75""","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014",3.4,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","11.09m","36' 4.75""","2014 SCIAC Quad Meet","Mar 29, 2014",-1,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","10.99m","36' 0.75""","2014 SCIAC Quad Meet","Mar 29, 2014",0.2,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","10.99m","36' 0.75""","UNLV Randall Cunningham Initational","Mar 21, 2014",0,"Athena","TJ","2014","Outdoor"
"Erving, Ellyn","SR-4","10.81m","35' 5.75""","UNLV Randall Cunningham Initational","Mar 21, 2014",0.6,"Athena","TJ","2014","Outdoor"
"Ng, Jessica","FR-1","10.71m","35' 1.75""","SCIAC Multi Duals Meet #3","Apr 19, 2014",3,"Athena","TJ","2014","Outdoor"
"Ng, Jessica","FR-1","10.69m","35' 1""","2014 SCIAC T&F Championships","May 3, 2014",1.3,"Athena","TJ","2014","Outdoor"
"Ng, Jessica","FR-1","10.65m","34' 11.25""","SCIAC Multi Duals Meet #3","Apr 19, 2014",1.7,"Athena","TJ","2014","Outdoor"
"Ng, Jessica","FR-1","10.62m","34' 10.25""","2014 SCIAC T&F Championships","May 3, 2014",0.6,"Athena","TJ","2014","Outdoor"
"Ng, Jessica","FR-1","10.57m","34' 8.25""","2014 SCIAC Quad Meet","Mar 29, 2014",0.9,"Athena","TJ","2014","Outdoor"
"Ng, Jessica","FR-1","10.55m","34' 7.5""","2014 SCIAC T&F Championships","May 3, 2014",0.4,"Athena","TJ","2014","Outdoor"
"Ng, Jessica","FR-1","10.54m","34' 7""","2014 SCIAC T&F Championships","May 3, 2014",-0.1,"Athena","TJ","2014","Outdoor"
"Lee, Liz","FR-1","10.50m","34' 5.5""","2014 SCIAC T&F Championships","May 3, 2014",0.5,"Athena","TJ","2014","Outdoor"
"Ng, Jessica","FR-1","10.46m","34' 4""","2014 SCIAC Quad Meet","Mar 29, 2014",1.9,"Athena","TJ","2014","Outdoor"
"Ng, Jessica","FR-1","10.42m","34' 2.25""","2014 SCIAC T&F Championships","May 3, 2014",0.3,"Athena","TJ","2014","Outdoor"
"Ng, Jessica","FR-1","10.39m","34' 1.25""","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014",3.3,"Athena","TJ","2014","Outdoor"
"Ng, Jessica","FR-1","10.38m","34' 0.75""","2014 Cal-Nevada Track & Field Championships","Apr 4, 2014",1.2,"Athena","TJ","2014","Outdoor"
"Ng, Jessica","FR-1","10.33m","33' 10.75""","2014 Cal-Nevada Track & Field Championships","Apr 4, 2014",0,"Athena","TJ","2014","Outdoor"
"Ng, Jessica","FR-1","10.30m","33' 9.5""","SCIAC Multi Duals Meet #3","Apr 19, 2014",1,"Athena","TJ","2014","Outdoor"
"Lee, Liz","FR-1","10.28m","33' 8.75""","2014 SCIAC T&F Championships","May 3, 2014",0.5,"Athena","TJ","2014","Outdoor"
