"Athlete","Year","Time","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Hollshwander, Amy","FR-1",15.32,"2014 SCIAC T&F Championships","May 3, 2014",0.2,"Athena","100H","2014","Outdoor"
"Hollshwander, Amy","FR-1",15.43,"2014 SCIAC T&F Championships","May 3, 2014",-0.3,"Athena","100H","2014","Outdoor"
"O'Keefe, Meg","SR-4",15.71,"2014 SCIAC T&F Championships","May 3, 2014",-0.7,"Athena","100H","2014","Outdoor"
"O'Keefe, Meg","SR-4",15.94,"2014 SCIAC T&F Championships","May 3, 2014",0.2,"Athena","100H","2014","Outdoor"
"Miller, Cora","JR-3",16.04,"2014 SCIAC T&F Championships","May 3, 2014",0.2,"Athena","100H","2014","Outdoor"
"Hollshwander, Amy","FR-1",16.22,"2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014",1,"Athena","100H","2014","Outdoor"
"Hollshwander, Amy","FR-1",16.23,"UNLV Randall Cunningham Initational","Mar 21, 2014",0,"Athena","100H","2014","Outdoor"
"Tarleton, Hanna","FR-1",16.25,"UNLV Randall Cunningham Initational","Mar 21, 2014",0,"Athena","100H","2014","Outdoor"
"Miller, Cora","JR-3",16.37,"2014 SCIAC T&F Championships","May 3, 2014",-0.3,"Athena","100H","2014","Outdoor"
"Hollshwander, Amy","FR-1",16.39,"2014 SCIAC Quad Meet","Mar 29, 2014",-0.2,"Athena","100H","2014","Outdoor"
"O'Keefe, Meg","SR-4",16.46,"2014 Pomona-Pitzer T&F Invite (College/Univ)","Apr 12, 2014",0.5,"Athena","100H","2014","Outdoor"
"O'Keefe, Meg","SR-4",16.49,"2014 SCIAC Quad Meet","Mar 29, 2014",-0.2,"Athena","100H","2014","Outdoor"
"O'Keefe, Meg","SR-4",16.53,"UNLV Randall Cunningham Initational","Mar 21, 2014",0,"Athena","100H","2014","Outdoor"
"Miller, Cora","JR-3",16.53,"2014 Pomona-Pitzer T&F Invite (College/Univ)","Apr 12, 2014",0.2,"Athena","100H","2014","Outdoor"
"Hollshwander, Amy","FR-1",16.65,"2014 Pomona-Pitzer T&F Invite (College/Univ)","Apr 12, 2014",0.2,"Athena","100H","2014","Outdoor"
"Tarleton, Hanna","FR-1",16.74,"2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014",1,"Athena","100H","2014","Outdoor"
"O'Keefe, Meg","SR-4",16.84,"Rossi Relays","Feb 22, 2014",1.4,"Athena","100H","2014","Outdoor"
"O'Keefe, Meg","SR-4",17.04,"2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014",1,"Athena","100H","2014","Outdoor"
"Ingram, Amy","FR-1",17.82,"2014 Pomona-Pitzer T&F Invite (College/Univ)","Apr 12, 2014",1.7,"Athena","100H","2014","Outdoor"
"Ingram, Amy","FR-1",17.88,"UNLV Randall Cunningham Initational","Mar 21, 2014",0,"Athena","100H","2014","Outdoor"
