"Athlete","Year","Mark","Conv","Meet","Meet_Date","Team","Event","Season","Location"
"Doede, Aubrey","SR-4","38.71m","127' 0""","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Athena","JT","2011","Outdoor"
"Doede, Aubrey","SR-4","37.48m","122' 11""","Cal/Nevada Collegiate Championship","Mar 26, 2011","Athena","JT","2011","Outdoor"
"Doede, Aubrey","SR-4","36.36m","119' 3""","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","JT","2011","Outdoor"
"Doede, Aubrey","SR-4","36.14m","118' 7""","Rossi Relays","Feb 26, 2011","Athena","JT","2011","Outdoor"
"Doede, Aubrey","SR-4","36.04m","118' 3""","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Athena","JT","2011","Outdoor"
"Doede, Aubrey","SR-4","35.88m","117' 8""","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","JT","2011","Outdoor"
"Doede, Aubrey","SR-4","35.52m","116' 6""","UC-Irvine Spring Break Invite","Mar 19, 2011","Athena","JT","2011","Outdoor"
"Doede, Aubrey","SR-4","35.12m","115' 3""","SCIAC Quad #1 at CMS","Mar 5, 2011","Athena","JT","2011","Outdoor"
"Doede, Aubrey","SR-4","34.77m","114' 1""","2011 Pomona-Pitzer Invite","Apr 9, 2011","Athena","JT","2011","Outdoor"
"Doede, Aubrey","SR-4","34.76m","114' 0""","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","JT","2011","Outdoor"
"Doede, Aubrey","SR-4","34.54m","113' 4""","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","JT","2011","Outdoor"
"Doede, Aubrey","SR-4","33.93m","111' 4""","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","JT","2011","Outdoor"
"Doede, Aubrey","SR-4","33.89m","111' 2""","Northridge Invitational","Mar 12, 2011","Athena","JT","2011","Outdoor"
"Doede, Aubrey","SR-4","33.74m","110' 8""","UC-Irvine Spring Break Invite","Mar 19, 2011","Athena","JT","2011","Outdoor"
"Doede, Aubrey","SR-4","32.81m","107' 8""","UC-Irvine Spring Break Invite","Mar 19, 2011","Athena","JT","2011","Outdoor"
"Doede, Aubrey","SR-4","32.76m","107' 6""","UC-Irvine Spring Break Invite","Mar 19, 2011","Athena","JT","2011","Outdoor"
"Doede, Aubrey","SR-4","32.11m","105' 4""","UC-Irvine Spring Break Invite","Mar 19, 2011","Athena","JT","2011","Outdoor"
"Doede, Aubrey","SR-4","31.52m","103' 5""","UC-Irvine Spring Break Invite","Mar 19, 2011","Athena","JT","2011","Outdoor"
"Doede, Aubrey","SR-4","30.74m","100' 10""","Cal/Nevada Collegiate Championship","Mar 26, 2011","Athena","JT","2011","Outdoor"
"Doede, Aubrey","SR-4","30.42m","99' 10""","Cal/Nevada Collegiate Championship","Mar 26, 2011","Athena","JT","2011","Outdoor"
"Colton, Reny","SR","30.22m","99' 2""","Northridge Multi Events","Mar 17, 2011","Athena","JT","2011","Outdoor"
"Doede, Aubrey","SR-4","30.20m","99' 1""","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","JT","2011","Outdoor"
"Colton, Reny","SR","29.85m","97' 11""","SCIAC Quad #1 at CMS","Mar 5, 2011","Athena","JT","2011","Outdoor"
"Colton, Reny","SR","27.99m","91' 10""","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Athena","JT","2011","Outdoor"
"Colton, Reny","SR","26.41m","86' 8""","Northridge Multi Events","Mar 17, 2011","Athena","JT","2011","Outdoor"
"Colton, Reny","SR","25.65m","84' 2""","Northridge Multi Events","Mar 17, 2011","Athena","JT","2011","Outdoor"
