"Athlete","Year","Mark","Conv","Meet","Meet_Date","Team","Event","Season","Location"
"Berliant, Taylor","JR-3","61.01m","200' 2""","SCIAC Quad Meet","Apr 17, 2010","Stag","HT","2010","Outdoor"
"Berliant, Taylor","JR-3","61.00m","200' 1""","Oxy Invitational","May 8, 2010","Stag","HT","2010","Outdoor"
"Berliant, Taylor","JR-3","59.87m","196' 5""","4 Way Scoring Meet","Feb 20, 2010","Stag","HT","2010","Outdoor"
"Berliant, Taylor","JR-3","59.60m","195' 6""","SCIAC Championships","Apr 30, 2010","Stag","HT","2010","Outdoor"
"Berliant, Taylor","JR-3","59.60m","195' 6""","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Stag","HT","2010","Outdoor"
"Berliant, Taylor","JR-3","59.42m","194' 11""","SCIAC Championships","Apr 30, 2010","Stag","HT","2010","Outdoor"
"Berliant, Taylor","JR-3","58.94m","193' 4""","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Stag","HT","2010","Outdoor"
"Berliant, Taylor","JR-3","58.09m","190' 7""","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Stag","HT","2010","Outdoor"
"Berliant, Taylor","JR-3","58.04m","190' 5""","Cal/Nevada Collegiate Championship","Mar 27, 2010","Stag","HT","2010","Outdoor"
"Berliant, Taylor","JR-3","57.85m","189' 9""","Rossi Relays","Feb 27, 2010","Stag","HT","2010","Outdoor"
"Berliant, Taylor","JR-3","57.42m","188' 5""","Spring Break Classic","Mar 20, 2010","Stag","HT","2010","Outdoor"
"Berliant, Taylor","JR-3","56.63m","185' 9""","SCIAC Championships","Apr 30, 2010","Stag","HT","2010","Outdoor"
"Heffernan, Grant","JR-3","51.92m","170' 4""","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Stag","HT","2010","Outdoor"
"Heffernan, Grant","JR-3","51.66m","169' 6""","Cal/Nevada Collegiate Championship","Mar 27, 2010","Stag","HT","2010","Outdoor"
"Heffernan, Grant","JR-3","51.39m","168' 7""","SCIAC Championships","Apr 30, 2010","Stag","HT","2010","Outdoor"
"Franz, Noah","SR-4","51.25m","168' 2""","Oxy Invitational","May 8, 2010","Stag","HT","2010","Outdoor"
"Franz, Noah","SR-4","51.15m","167' 10""","SCIAC Championships","Apr 30, 2010","Stag","HT","2010","Outdoor"
"Heffernan, Grant","JR-3","51.05m","167' 6""","SCIAC Championships","Apr 30, 2010","Stag","HT","2010","Outdoor"
"Heffernan, Grant","JR-3","51.04m","167' 5""","SCIAC Quad Meet","Apr 17, 2010","Stag","HT","2010","Outdoor"
"Heffernan, Grant","JR-3","50.51m","165' 8""","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Stag","HT","2010","Outdoor"
"Heffernan, Grant","JR-3","50.29m","165' 0""","SCIAC Championships","Apr 30, 2010","Stag","HT","2010","Outdoor"
"Heffernan, Grant","JR-3","50.06m","164' 3""","Spring Break Classic","Mar 20, 2010","Stag","HT","2010","Outdoor"
"Franz, Noah","SR-4","50.04m","164' 2""","SCIAC Championships","Apr 30, 2010","Stag","HT","2010","Outdoor"
"Franz, Noah","SR-4","49.56m","162' 7""","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Stag","HT","2010","Outdoor"
"Franz, Noah","SR-4","49.31m","161' 9""","SCIAC Quad Meet","Apr 17, 2010","Stag","HT","2010","Outdoor"
"Heffernan, Grant","JR-3","49.27m","161' 8""","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Stag","HT","2010","Outdoor"
"Heffernan, Grant","JR-3","48.79m","160' 1""","4 Way Scoring Meet","Feb 20, 2010","Stag","HT","2010","Outdoor"
"Gage, Chris","","48.76m","160' 0""","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Stag","HT","2010","Outdoor"
"Gage, Chris","","48.41m","158' 10""","SCIAC Championships","Apr 30, 2010","Stag","HT","2010","Outdoor"
"Gage, Chris","","48.33m","158' 7""","SCIAC Championships","Apr 30, 2010","Stag","HT","2010","Outdoor"
"Franz, Noah","SR-4","48.28m","158' 5""","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Stag","HT","2010","Outdoor"
"Gage, Chris","","48.24m","158' 3""","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Stag","HT","2010","Outdoor"
"Heffernan, Grant","JR-3","47.75m","156' 8""","Rossi Relays","Feb 27, 2010","Stag","HT","2010","Outdoor"
"Franz, Noah","SR-4","47.10m","154' 6""","SCIAC Championships","Apr 30, 2010","Stag","HT","2010","Outdoor"
"Franz, Noah","SR-4","46.93m","154' 0""","Spring Break Classic","Mar 20, 2010","Stag","HT","2010","Outdoor"
"Gage, Chris","","46.64m","153' 0""","SCIAC Championships","Apr 30, 2010","Stag","HT","2010","Outdoor"
"Gage, Chris","","46.60m","152' 11""","4 Way Scoring Meet","Feb 20, 2010","Stag","HT","2010","Outdoor"
"Franz, Noah","SR-4","46.33m","152' 0""","Rossi Relays","Feb 27, 2010","Stag","HT","2010","Outdoor"
"Gage, Chris","","45.56m","149' 6""","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Stag","HT","2010","Outdoor"
"Gage, Chris","","45.01m","147' 8""","SCIAC Championships","Apr 30, 2010","Stag","HT","2010","Outdoor"
"Gage, Chris","","44.58m","146' 3""","SCIAC Quad Meet","Apr 17, 2010","Stag","HT","2010","Outdoor"
"Franz, Noah","SR-4","44.31m","145' 4""","4 Way Scoring Meet","Feb 20, 2010","Stag","HT","2010","Outdoor"
"Gage, Chris","","42.67m","140' 0""","Spring Break Classic","Mar 20, 2010","Stag","HT","2010","Outdoor"
"Gage, Chris","","42.55m","139' 7""","Rossi Relays","Feb 27, 2010","Stag","HT","2010","Outdoor"
"Koo, Chris","SR-4","39.97m","131' 2""","Spring Break Classic","Mar 20, 2010","Stag","HT","2010","Outdoor"
"Koo, Chris","SR-4","37.60m","123' 4""","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Stag","HT","2010","Outdoor"
"Koo, Chris","SR-4","37.45m","122' 10""","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Stag","HT","2010","Outdoor"
"Koo, Chris","SR-4","37.16m","121' 11""","SCIAC Quad Meet","Apr 17, 2010","Stag","HT","2010","Outdoor"
"Koo, Chris","SR-4","36.72m","120' 6""","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Stag","HT","2010","Outdoor"
"Koo, Chris","SR-4","35.44m","116' 3""","Rossi Relays","Feb 27, 2010","Stag","HT","2010","Outdoor"
