"Athlete","Year","Mark","Conv","Meet","Meet_Date","Team","Event","Season","Location"
"Myers, Eric","JR-3","1.87m","6' 1.5""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","HJ","2018","Outdoor"
"Rainaldi, Ross","FR-1","1.82m","5' 11.5""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","HJ","2018","Outdoor"
"Myers, Eric","JR-3","1.82m","5' 11.5""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","HJ","2018","Outdoor"
"Myers, Eric","JR-3","1.80m","5' 10.75""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Stag","HJ","2018","Outdoor"
"Myers, Eric","JR-3","1.80m","5' 10.75""","SCIAC Multi-Dual #1","Mar 3, 2018","Stag","HJ","2018","Outdoor"
"Rainaldi, Ross","FR-1","1.80m","5' 10.75""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018","Stag","HJ","2018","Outdoor"
"Rainaldi, Ross","FR-1","1.80m","5' 10.75""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Stag","HJ","2018","Outdoor"
"Myers, Eric","JR-3","1.80m","5' 10.75""","Redlands Invitational","Mar 16, 2018","Stag","HJ","2018","Outdoor"
"Rainaldi, Ross","FR-1","1.77m","5' 9.75""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","HJ","2018","Outdoor"
"Myers, Eric","JR-3","1.77m","5' 9.75""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","HJ","2018","Outdoor"
"Myers, Eric","JR-3","1.75m","5' 8.75""","Redlands Invitational","Mar 16, 2018","Stag","HJ","2018","Outdoor"
"Myers, Eric","JR-3","1.75m","5' 8.75""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018","Stag","HJ","2018","Outdoor"
"Myers, Eric","JR-3","1.75m","5' 8.75""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Stag","HJ","2018","Outdoor"
"Rainaldi, Ross","FR-1","1.75m","5' 8.75""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018","Stag","HJ","2018","Outdoor"
"Rainaldi, Ross","FR-1","1.75m","5' 8.75""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Stag","HJ","2018","Outdoor"
"Rainaldi, Ross","FR-1","1.72m","5' 7.75""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","HJ","2018","Outdoor"
"Myers, Eric","JR-3","1.70m","5' 7""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018","Stag","HJ","2018","Outdoor"
"Rainaldi, Ross","FR-1","1.70m","5' 7""","Redlands Invitational","Mar 16, 2018","Stag","HJ","2018","Outdoor"
"Rainaldi, Ross","FR-1","1.70m","5' 7""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018","Stag","HJ","2018","Outdoor"
"Rainaldi, Ross","FR-1","1.65m","5' 5""","Redlands Invitational","Mar 16, 2018","Stag","HJ","2018","Outdoor"
"Schulz, Connor","FR-1","1.59m","5' 2.5""","Claremont Classic","May 3, 2018","Stag","HJ","2018","Outdoor"
"Schulz, Connor","FR-1","1.56m","5' 1.25""","Claremont Classic","May 3, 2018","Stag","HJ","2018","Outdoor"
"Schulz, Connor","FR-1","1.53m","5' 0.25""","Claremont Classic","May 3, 2018","Stag","HJ","2018","Outdoor"
"Schulz, Connor","FR-1","1.50m","4' 11""","Claremont Classic","May 3, 2018","Stag","HJ","2018","Outdoor"
